62000 [4.9344e-01, 4.9905e-01]
62100 [4.9344e-01, 4.9905e-01]
62200 [4.9344e-01, 4.9906e-01]
62300 [4.9344e-01, 4.9904e-01]
62400 [4.9345e-01, 4.9906e-01]
62500 [4.9344e-01, 4.9905e-01]
62600 [4.9345e-01, 4.9905e-01]
62700 [4.9344e-01, 4.9905e-01]
62800 [4.9344e-01, 4.9905e-01]
62900 [4.9344e-01, 4.9907e-01]
63000 [4.9344e-01, 4.9905e-01]
63100 [4.9345e-01, 4.9905e-01]
63200 [4.9345e-01, 4.9905e-01]
63300 [4.9345e-01, 4.9905e-01]
63400 [4.9343e-01, 4.9906e-01]
63500 [4.9346e-01, 4.9905e-01]
